cid,都道府県名,市町村名,住居表示実施状況,調査年月日,実施状況公開URL,公開形式,国土地理院住居表示住所デジタルデータURL,MEMO
1216,北海道,芦別市,未実施,2021/09/29,none,none,none,
1217,北海道,江別市,未実施,2021/09/29,none,none,none,
1218,北海道,赤平市,未実施,2021/09/29,none,none,none,
1221,北海道,名寄市,未実施,2021/09/29,none,none,none,
1222,北海道,三笠市,未実施,2021/09/29,none,none,none,
1223,北海道,根室市,未実施,2021/09/29,none,none,none,
1227,北海道,歌志内市,未実施,2021/09/29,none,none,none,
1230,北海道,登別市,未実施,2021/09/30,none,none,none,
1233,北海道,伊達市,未実施,2021/09/30,none,none,none,
1234,北海道,北広島市,未実施,2021/09/30,none,none,none,
1235,北海道,石狩市,未実施,2021/09/30,none,none,none,
1303,北海道,当別町,未実施,2021/09/30,none,none,none,
1304,北海道,新篠津村,未実施,2021/09/30,none,none,none,
1331,北海道,松前町,未実施,2021/09/30,none,none,none,
1332,北海道,福島町,未実施,2021/09/30,none,none,none,
1333,北海道,知内町,未実施,2021/09/30,none,none,none,
1334,北海道,木古内町,未実施,2021/09/30,none,none,none,
1343,北海道,鹿部町,未実施,2021/09/30,none,none,none,
1345,北海道,森町,未実施,2021/09/30,none,none,none,
1346,北海道,八雲町,未実施,2021/09/30,none,none,none,
1347,北海道,長万部町,未実施,2021/09/30,none,none,none,
1361,北海道,江差町,未実施,2021/09/30,none,none,none,
1362,北海道,上ノ国町,未実施,2021/09/30,none,none,none,
1363,北海道,厚沢部町,未実施,2021/09/30,none,none,none,
1364,北海道,乙部町,未実施,2021/09/30,none,none,none,
1367,北海道,奥尻町,未実施,2021/09/30,none,none,none,
1370,北海道,今金町,未実施,2021/09/30,none,none,none,
1371,北海道,せたな町,未実施,2021/09/30,none,none,none,
1391,北海道,島牧村,未実施,2021/09/30,none,none,none,
1392,北海道,寿都町,未実施,2021/09/30,none,none,none,
1393,北海道,黒松内町,未実施,2021/09/30,none,none,none,
1394,北海道,蘭越町,未実施,2021/09/30,none,none,none,
1395,北海道,ニセコ町,未実施,2021/09/30,none,none,none,
1396,北海道,真狩村,未実施,2021/09/30,none,none,none,
1397,北海道,留寿都村,未実施,2021/09/30,none,none,none,
1398,北海道,喜茂別町,未実施,2021/09/30,none,none,none,
