cid,pref,city,住居表示実施状況(entire/partial/not yet),調査年月日,実施状況公開情報,"公開フォーマット
（PDF、CSVなど）",国土地理院住居表示住所デジタルデータ,MEMO
1647,北海道,足寄町,未実施,2021/09/30,none,none,none,
1648,北海道,陸別町,未実施,2021/09/30,none,none,none,
1649,北海道,浦幌町,未実施,2021/09/30,none,none,none,
1661,北海道,釧路町,未実施,2021/09/30,none,none,none,
1662,北海道,厚岸町,未実施,2021/09/30,none,none,none,
1663,北海道,浜中町,未実施,2021/09/30,none,none,none,
1664,北海道,標茶町,一部地域で実施,2021/09/30,none,none,https://saigai.gsi.go.jp/jusho/view/pref/city/01664.html,
1665,北海道,弟子屈町,一部地域で実施,2021/09/30,none,none,https://saigai.gsi.go.jp/jusho/view/pref/city/01665.html,
1667,北海道,鶴居村,未実施,2021/09/30,none,none,none,
1668,北海道,白糠町,未実施,2021/09/30,none,none,none,
1691,北海道,別海町,未実施,2021/09/30,none,none,none,
1692,北海道,中標津町,未実施,2021/09/30,none,none,none,
1693,北海道,標津町,未実施,2021/09/30,none,none,none,
1694,北海道,羅臼町,未実施,2021/09/30,none,none,none,
2201,青森県,青森市,一部地域で実施,2021/10/14,https://www.city.aomori.aomori.jp/jutaku-machizukuri/kurashi-guide/sumai/jukyohyoji/documents/jisshiichiranhyo.pdf,PDF,https://saigai.gsi.go.jp/jusho/view/pref/city/02201.html,
2202,青森県,弘前市,未実施,2021/10/14,none,none,none,
2203,青森県,八戸市,一部地域で実施,2021/10/14,https://www.city.hachinohe.aomori.jp/soshikikarasagasu/shiminka/sumai_kotsuu_suido/1/1/4207.html,HTML,https://saigai.gsi.go.jp/jusho/view/pref/city/02203.html,
2204,青森県,黒石市,未実施,2021/10/14,none,none,none,
2205,青森県,五所川原市,一部地域で実施,2021/10/14,http://www.city.goshogawara.lg.jp/kurashi/machi/juukyohyouji.html,HTML,https://saigai.gsi.go.jp/jusho/view/pref/city/02205.html,
2206,青森県,十和田市,一部地域で実施,2021/10/14,none,none,https://saigai.gsi.go.jp/jusho/view/pref/city/02206.html,
2207,青森県,三沢市,一部地域で実施,2021/10/14,"https://www.city.misawa.lg.jp/index.cfm/19,1648,12,97,html",HTML,https://saigai.gsi.go.jp/jusho/view/pref/city/02207.html,
2208,青森県,むつ市,一部地域で実施,2021/10/14,none,none,https://saigai.gsi.go.jp/jusho/view/pref/city/02208.html,
2209,青森県,つがる市,未実施,2021/10/14,none,none,none,
2210,青森県,平川市,未実施,2021/10/14,none,none,none,
2301,青森県,平内町,未実施,2021/10/14,none,none,none,
2303,青森県,今別町,未実施,2021/10/14,none,none,none,
2304,青森県,蓬田村,未実施,2021/10/14,none,none,none,
2307,青森県,外ヶ浜町,未実施,2021/10/14,none,none,none,
2321,青森県,鰺ヶ沢町,未実施,2021/10/14,none,none,none,
2323,青森県,深浦町,未実施,2021/10/14,none,none,none,
2343,青森県,西目屋村,未実施,2021/10/14,none,none,none,
2361,青森県,藤崎町,未実施,2021/10/14,none,none,none,
2362,青森県,大鰐町,未実施,2021/10/14,none,none,none,
2367,青森県,田舎館村,未実施,2021/10/14,none,none,none,
2381,青森県,板柳町,未実施,2021/10/14,none,none,none,
2384,青森県,鶴田町,未実施,2021/10/14,none,none,none,
2387,青森県,中泊町,未実施,2021/10/14,none,none,none,
2401,青森県,野辺地町,未実施,2021/10/14,none,none,none,
2402,青森県,七戸町,未実施,2021/10/14,none,none,none,
2405,青森県,六戸町,未実施,2021/10/14,none,none,none,
2406,青森県,横浜町,未実施,2021/10/14,none,none,none,
2408,青森県,東北町,未実施,2021/10/14,none,none,none,
2411,青森県,六ヶ所村,未実施,2021/10/14,none,none,none,
2412,青森県,おいらせ町,未実施,2021/10/14,none,none,none,
2423,青森県,大間町,未実施,2021/10/14,none,none,none,
2424,青森県,東通村,未実施,2021/10/14,none,none,none,
2425,青森県,風間浦村,未実施,2021/10/14,none,none,none,
2426,青森県,佐井村,未実施,2021/10/14,none,none,none,
2441,青森県,三戸町,未実施,2021/10/14,none,none,none,
2442,青森県,五戸町,未実施,2021/10/14,none,none,none,
2443,青森県,田子町,未実施,2021/10/14,none,none,none,
2445,青森県,南部町,未実施,2021/10/14,none,none,none,
2446,青森県,階上町,未実施,2021/10/14,none,none,none,
2450,青森県,新郷村,未実施,2021/10/14,none,none,none,
3201,岩手県,盛岡市,一部地域で実施,2021/10/14,https://www.city.morioka.iwate.jp/_res/projects/default_project/_page_/001/001/715/jissityoumei.pdf,PDF,https://saigai.gsi.go.jp/jusho/view/pref/city/03201.html,
3202,岩手県,宮古市,一部地域で実施,2021/10/14,https://www.city.miyako.iwate.jp/data/open/cnt/3/459/1/jukyohyozizissikuiki.pdf?20210128165539,PDF,https://saigai.gsi.go.jp/jusho/view/pref/city/03202.html,
3203,岩手県,大船渡市,未実施,2021/10/14,https://www.city.ofunato.iwate.jp/life/1/33/16/,none,none,
3205,岩手県,花巻市,一部地域で実施,2021/10/14,https://www.city.hanamaki.iwate.jp/kurashi/todokede/1001360.html,HTML,https://saigai.gsi.go.jp/jusho/view/pref/city/03205.html,
3206,岩手県,北上市,一部地域で実施,2021/10/14,https://www.city.kitakami.iwate.jp/life/soshikikarasagasu/shiminka/shiminkakari/4/4/5465.html,HTML,https://saigai.gsi.go.jp/jusho/view/pref/city/03206.html,
3207,岩手県,久慈市,一部地域で実施,2021/10/14,https://www.city.kuji.iwate.jp/kurashi/sumai/jukyo/jukyo_hyouji_2.html,HTML,https://saigai.gsi.go.jp/jusho/view/pref/city/03207.html,
3208,岩手県,遠野市,一部地域で実施,2021/10/14,none,none,https://saigai.gsi.go.jp/jusho/view/pref/city/03208.html,
3209,岩手県,一関市,一部地域で実施,2021/10/14,"https://www.city.ichinoseki.iwate.jp/index.cfm/8,80285,c,html/80285/20210329-164021.pdf",PDF,https://saigai.gsi.go.jp/jusho/view/pref/city/03209.html,
3210,岩手県,陸前高田市,未実施,2021/10/14,none,none,none,
3211,岩手県,釜石市,一部地域で実施,2021/10/14,https://www.city.kamaishi.iwate.jp/docs/2014060600030/file_contents/2014060600030_www_city_kamaishi_iwate_jp_kurasu_sumai_kenchiku_detail___icsFiles_afieldfile_2015_01_23_20140606-140056.pdf,PDF,https://saigai.gsi.go.jp/jusho/view/pref/city/03211.html,
3213,岩手県,二戸市,未実施,2021/10/14,none,none,none,
3214,岩手県,八幡平市,未実施,2021/10/14,https://www.city.hachimantai.lg.jp/life/1/3/8/,none,none,
3215,岩手県,奥州市,一部地域で実施,2021/10/14,https://www.city.oshu.iwate.jp/soshiki/48/4049.html,HTML,https://saigai.gsi.go.jp/jusho/view/pref/city/03215.html,
3216,岩手県,滝沢市,未実施,2021/10/14,none,none,none,
3301,岩手県,雫石町,未実施,2021/10/14,none,none,none,
3302,岩手県,葛巻町,未実施,2021/10/14,none,none,none,
3303,岩手県,岩手町,未実施,2021/10/14,none,none,none,
3321,岩手県,紫波町,未実施,2021/10/14,none,none,none,
3322,岩手県,矢巾町,一部地域で実施,2021/10/14,https://www.town.yahaba.iwate.jp/docs/2019061100046/,HTML,https://saigai.gsi.go.jp/jusho/view/pref/city/03322.html,
3366,岩手県,西和賀町,未実施,2021/10/14,none,none,none,
3381,岩手県,金ケ崎町,未実施,2021/10/14,none,none,none,
3402,岩手県,平泉町,未実施,2021/10/14,none,none,none,
3441,岩手県,住田町,未実施,2021/10/14,none,none,none,
3461,岩手県,大槌町,一部地域で実施,2021/10/14,https://www.town.otsuchi.iwate.jp/fs/1/8/9/8/1/1/_/20160804-2.pdf,PDF,https://saigai.gsi.go.jp/jusho/view/pref/city/03461.html,
3482,岩手県,山田町,一部地域で実施,2021/10/14,none,none,https://saigai.gsi.go.jp/jusho/view/pref/city/03482.html,
3483,岩手県,岩泉町,未実施,2021/10/14,none,none,none,
3484,岩手県,田野畑村,未実施,2021/10/14,none,none,none,
3485,岩手県,普代村,未実施,2021/10/14,none,none,none,
3501,岩手県,軽米町,未実施,2021/10/14,none,none,none,
3503,岩手県,野田村,未実施,2021/10/14,none,none,none,
3506,岩手県,九戸村,未実施,2021/10/14,none,none,none,
3507,岩手県,洋野町,未実施,2021/10/14,none,none,none,
3524,岩手県,一戸町,未実施,2021/10/14,none,none,none,
4101,宮城県,仙台市 青葉区,一部地域で実施,2021/10/14,http://www.city.sendai.jp/kosekijumin/kurashi/tetsuzuki/koseki/jisshi/hyoji/documents/300723_jisshichikuchoumeiichrannhyou.pdf,PDF,https://saigai.gsi.go.jp/jusho/view/pref/city/04101.html,
4102,宮城県,仙台市 宮城野区,一部地域で実施,2021/10/14,http://www.city.sendai.jp/kosekijumin/kurashi/tetsuzuki/koseki/jisshi/hyoji/documents/300723_jisshichikuchoumeiichrannhyou.pdf,PDF,https://saigai.gsi.go.jp/jusho/view/pref/city/04102.html,
4103,宮城県,仙台市 若林区,一部地域で実施,2021/10/14,http://www.city.sendai.jp/kosekijumin/kurashi/tetsuzuki/koseki/jisshi/hyoji/documents/300723_jisshichikuchoumeiichrannhyou.pdf,PDF,https://saigai.gsi.go.jp/jusho/view/pref/city/04103.html,
4104,宮城県,仙台市 太白区,一部地域で実施,2021/10/14,http://www.city.sendai.jp/kosekijumin/kurashi/tetsuzuki/koseki/jisshi/hyoji/documents/300723_jisshichikuchoumeiichrannhyou.pdf,PDF,https://saigai.gsi.go.jp/jusho/view/pref/city/04104.html,
4105,宮城県,仙台市 泉区,一部地域で実施,2021/10/14,http://www.city.sendai.jp/kosekijumin/kurashi/tetsuzuki/koseki/jisshi/hyoji/documents/300723_jisshichikuchoumeiichrannhyou.pdf,PDF,https://saigai.gsi.go.jp/jusho/view/pref/city/04105.html,
4202,宮城県,石巻市,一部地域で実施,2021/10/14,https://www.city.ishinomaki.lg.jp/cont/10304000/4849/jyukyohyoujijisshikuikiichiran.pdf,PDF,https://saigai.gsi.go.jp/jusho/view/pref/city/04202.html,
4203,宮城県,塩竈市,一部地域で実施,2021/10/14,none,none,https://saigai.gsi.go.jp/jusho/view/pref/city/04203.html,
4205,宮城県,気仙沼市,一部地域で実施,2021/10/14,https://www.kesennuma.miyagi.jp/sec/s033/010/010/010/070/010/jyukyo_zentai.pdf,PDF,https://saigai.gsi.go.jp/jusho/view/pref/city/04205.html,
4206,宮城県,白石市,一部地域で実施,2021/10/14,https://www.city.shiroishi.miyagi.jp/soshiki/24/1380.html,HTML,https://saigai.gsi.go.jp/jusho/view/pref/city/04206.html,
4207,宮城県,名取市,一部地域で実施,2021/10/14,https://www.city.natori.miyagi.jp/soshiki/seikatsu/shimin/node_6331,HTML,https://saigai.gsi.go.jp/jusho/view/pref/city/04207.html,
4208,宮城県,角田市,未実施,2021/10/14,none,none,none,
